        Name,        type,   Lbol_peak,      t_peak,56Ni from Suggested beta,   56Ni tail,56Ni tail error,           F,      M_ejEk,beta required, Lp_prentice, tp_prentice, Ni_prentice,   Arnett Ni
     SN2008D,          Ib,42.1133447102,        18.8,0.151354390242,0.0359883278892,0.000376309179034,106.752611943,3.33601912322,0.359472933764,42.333  0.393 0.325,19.293   0.229,0.111  0.167 0.059,0.0679604687805
    SN2011dh,          Ib,42.2682982311,        20.4,0.20505580659,0.0537151583686,0.000615575393363, 108.6195162,3.39435988123,0.334914337841,42.246  0.057 0.036,15.712   0.017,0.075  0.011 0.006,0.104928964784
    SN2008ax,         IIb,42.2541120749,        21.2,0.249709818835,0.0464013261503,0.000508772607795,112.928950036,3.52902968864,0.313222489534,42.326  0.075 0.056,19.283   0.127,0.109  0.021 0.014,0.105314940024
   SN2016gkg,         IIb,42.3110010411,        16.1,0.368653350011,0.0627476213261,0.000683188298642,122.456300497,3.82675939055,0.430427500683,           0,           0,           0,0.0925530080208
    SN2013df,         IIb,42.1537135694,        22.3,0.188212702046,0.0391256130681,0.000334567374891,126.946084584,3.96706514325,0.302343274764,42.397  0.074 0.058,21.793   0.103,0.144  0.028 0.019,0.0876344741954
     SN1993J,         IIb,42.4050949099,        20.7,0.362606600384,0.0774957964733,0.000967134865843,111.43490993,3.48234093532,0.334316165552,42.456  0.109 0.088,19.148   0.033,0.146  0.042 0.027,0.14577777059
   iPTF13bvn,          Ib,       42.07,      17.152,0.147563339397,0.0478813288023,4.14715018779e-06,94.3302001646,2.94781875514,0.433209987277,42.211  0.067 0.037,15.953   0.098,0.070  0.012 0.006,0.0563840055828
    SN2009jf,          Ib,      42.609,       20.08,0.453550662501,0.160669829706,1.06493388762e-06,155.775564439,4.86798638872,0.367310254623,42.682  0.072 0.057,21.267   0.164,0.271  0.051 0.035,0.226510843382
    SN2013ge,          Ib,42.3242824553,        17.6,0.259117880702,0.0566269842481,1.84832799005e-06,113.553027347,3.54853210459,0.380875376898,42.335  0.077 0.064,18.878   1.697,0.109  0.032 0.023,0.103756433331
    SN2006jc,        Ib n,42.7836516101,         2.0,0.00526377507787,19.1328818327,2.63254947902,0.51815269674,0.0161922717731,502.263151535,           0,           0,           0,0.0939712761661
     SN1994I,          Ic,42.4183446593,         9.0,0.347923951202,0.0265098918184,0.000921051458731,66.7916073133,2.08723772854,0.573960807082,42.473  0.409 0.363,12.252   0.211,0.102  0.164 0.059,0.0733939859497
    SN2004aw,          Ic,42.5684300055,         9.9,0.610667204936,0.108880896438,0.00184089225505,113.409433415,3.54404479422,0.692791617945,42.659  0.063 0.056,          NA,          NA,0.111003938709
    SN1998bw,      Ic GRB,43.1770393008,        16.2,1.99253489716,0.288029759243,0.00263999048166,116.841704005,3.65130325015,0.379592712118,43.061  0.080 0.046,15.861   0.177,0.496  0.091 0.047,0.683808457281
    SN2007ru,       Ic BL,43.0091698818,         9.3,1.48087935133,0.126809358751,0.00119660199602,115.730107833,3.61656586978,0.588377369296,43.033  0.054 0.032,10.242   0.047,0.323  0.044 0.024,0.292717659815
    SN2009bb,       Ic BL,42.8055947721,        14.1,0.981682836137,0.1095416529,0.00660700590651,81.518060296,2.54743938425,0.423517522726,42.863  0.162 0.143,12.631   0.095,0.258  0.119 0.073,0.256075993894
   SN2016coi,       Ic BL,42.5164631481,        15.3,0.461672591678,0.0918709266117,0.000801993138255,123.232422809,3.85101321277,0.442698108478,           0,           0,           0,0.141702951663
    SN2002ap,       Ic BL,42.2979413167,         1.9,0.00150896773294,0.0347474582157,0.000351438055662,110.256824349,3.44552576091,18.3641397548,42.415  0.055 0.028,13.011   0.000,0.094  0.013 0.006,0.0304287366769
    SN2007gr,          Ic,42.2769046438,        15.0,0.271630808266,0.0404354781904,0.000311565355832,128.85948427,4.02685888345,0.421751880231,42.299  0.099 0.079,13.146   0.229,0.073  0.020 0.013,0.0801578488337
