0.9638	,42.987
1.767	,42.751	
2.248	,42.621	
2.570	,42.658	
4.016	,42.427	
4.497	,42.368	
4.819	,42.292	
4.819	,42.242	
6.586	,41.947	
7.228	,41.917	
9.317	,41.745	
9.959	,41.686	
10.92	,41.627	
11.88	,41.576	
12.85	,41.538	
13.97	,41.513	
13.97	,41.480	
15.10	,41.463	
16.06	,41.458	
17.18	,41.429	
17.83	,41.412	
18.31	,41.408	
19.11	,41.404	
19.91	,41.400	
20.08	,41.391	
21.84	,41.391	
22.97	,41.395	
23.93	,41.391	
24.73	,41.400	
25.06	,41.404	
25.70	,41.404	
26.02	,41.408	
28.75	,41.442	
29.23	,41.446	
31.96	,41.492	
33.89	,41.534	
37.91	,41.610	
39.03	,41.623	
39.83	,41.635	
40.80	,41.656	
44.97	,41.732	
47.71	,41.774	
48.03	,41.783	
48.03	,41.783	
49.95	,41.804	
54.93	,41.863	
57.83	,41.884	
58.47	,41.884	
59.59	,41.892	
59.91	,41.896	
62.81	,41.922	
67.79	,41.960	
72.77	,41.997	
94.61	,42.128	

