arnett_ni_mass,band_bc,band_extinction,band_t0,beta_req,distance,ebv_gal,ebv_host,host,lb,name,ni_khatami,peakL,peakt,prentice_ni,prentice_peakL,prentice_peakt,smoothing_bc,sn_type,sn_type_full,source,source_bc,t0,tail_meje,tail_ni_mass,ub,verbose
0.11619029330135811;0.020806271097638211,V;R,B;V,r,0.7587998472438704;0.2116159185673937,9200000.0;640000.0,0.0188;0.0002,0.25;0.04,NGC 4490,0.0,SN2008ax,0.063325788884643699;0.010638257894516927,42.300158594952926;41.525448500563556,21.299999999999962;1.7117453720848317,0.109;0.021;0.014,42.326;0.075;0.056,19.283;0.127,1.5,IIb,IIb,12,17,54528.299999999814;1.0,3.0604656762326918;0.060311347357232314,0.060025655709430727;0.0015047175463313929,7.0,1
0.066522629610445846;0.0096557707215119623,V;I;r,V;r,,0.79881519861955486;0.15189984904170736,31400000.0;2180000.0,0.0193;0.0002,0.47;0.037,NGC 2770,,SN2008D,0.046252911063404747;0.0056449341359202203,42.09089024974022;41.177410057220946,19.499999999999964;1.6248184362645481,0.111;0.167;0.059,42.333;0.393;0.325,19.293;0.229,1.0,Ib,Ib,4,4,54474.56399999978;0.0,3.1727716991306569;0.058474515939304923,0.03616764028611745;0.00061348688058317582,,1
0.17154470090957502;0.01687812563241128,V;R,V;R,,0.82621528140682665;0.12041977708183516,8580000.0;100000.0,0.0309;0.0017,0.15;0.028,M51,,SN2011dh,0.093796925894561053;0.0091457755042622588,42.48970419624311;41.478736128036672,19.999999999999947;0.2617702878475634,0.075;0.011;0.006,42.246;0.057;0.036,15.712;0.017,1.0,IIb,IIb,17,17,55712.0;0.0,3.1518715595163491;0.051520871464136392,0.094282102137023718;0.00149639700754091,,1
0.15066820092204644;0.054382318895225698,V;I,V;R,,0.54339053688040162;0.32336596452266481,17900000.0;1000000.0,0.0168;0.0002,0.2;0.04,NGC 4414,,SN2013df,0.083007061659661957;0.020730334496399164,42.38705203955378;41.784543308624798,23.50000000000005;6.3053711891540987,0.144;0.028;0.019,42.397;0.074;0.058,21.793;0.103,0.7,IIb,IIb,8,8,56447.299999999814;0.9,3.897835706157446;0.057117147328821928,0.063130731733951381;0.00061715573111405264,,1
0.15567675003725343;0.040117843902901004,V;I,V;R,,0.77526244557189261;0.11547422484335532,3600000.0;200000.0,0.069;0.0001,0.11;0.003,M81,,SN1993J,0.084418673180905013;0.0085254256758748176,42.417898734380842;41.422176284970007,21.799999999999976;6.3776574540846251,0.146;0.042;0.027,42.456;0.109;0.088,19.148;0.033,0.4,IIb,IIb,16,11,49074.0;0.0,3.4148897271486987;0.073636303735721192,0.081162714566945224;0.0011902093509034858,,1
0.29427561203604552;0.071136148378373024,V;I,V;R,B,0.89083639515742696;0.18106960811400516,33800000.0;2350000.0,0.097;0.0013,0.07;0.065,NGC 7479,0.0,SN2009jf,0.19734419980161005;0.027100545180751251,42.680302317330224;41.818055978530992,21.999999999999957;4.5701293443929041,0.271;0.051;0.035,42.682;0.072;0.057,21.267;0.164,1.0,Ib,Ib,5;8,8,55099.54000000004;4.2,4.8977406614457371;0.26938129241723097,0.16510369844989939;0.0071518866247335172,7.0,1
0.11478291658732424;0.046020233241292868,B;V,V;R,V,0.75574569359451083;51.861734957414832,23700000.0;1650000.0,0.0198;0.0002,0.1;0.1,NGC 3287,0.0,SN2013ge,0.08101379780117586;0.022307627919362777,42.390207240959249;41.830101641312694,16.399999999999959;5.5588232018557964,0.109;0.032;0.023,42.335;0.077;0.064,18.878;1.697,4.5,Ib,Ib,2,2,56602.29000000004;4.7,3.8145289655485262;0.18023651890204268,0.062487943009977523;0.0036845294870121443,7.0,1
0.20296876154554347;0.08300796343790233,V;I,V;R,V,1.0793634658501847;0.38632637478365772,73600000.0;5000000.0,0.0184;0.0009,0.37;0.08,NGC 3997,0.0,SN2004aw,0.15379224592977644;0.031316328819362735,42.714237836340878;42.023074241550241,14.099999999999985;6.6957503734304824,NA,42.659;0.063;0.056,NA,2.0,Ic,Ic,8,8,53076.5;6.0,5.8507161508318886;3.5867907681263489,0.14962477567955992;0.01005057562296157,7.0,1
0.6984547157504406;0.10323010769583353,V;I,V;R,,0.47324761173002117;0.14257886874892642,38100000.0;2650000.0,0.0494;0.0011,0.0;0.02,ESO 184-G82,,SN1998bw,0.49649553054952911;0.059835698748621248,43.166250927383572;42.247295951045636,16.999999999999957;1.7507467379080641,0.496;0.091;0.047,43.061;0.080;0.046,15.861;0.177,0.6,Ic,Ic BL,12,10;12,50928.89999999991;0.0,3.3813022929337246;0.049293817815350235,0.30042986339927685;0.0038285220103409629,,1
0.19809712028191659;0.045795054529311485,V;I,V;R,B,1.1297624709655638;0.42284582242122837,40100000.0;2830000.0,0.0847;0.001,0.4;0.08,NGC 3278,0.0,SN2009bb,0.15517955278010984;0.030332554088539177,42.794859605183397;42.085934089963324,10.600000000000007;1.6784447282645585,0.258;0.119;0.073,42.863;0.162;0.143,12.631;0.095,2.5,Ic,Ic BL,6,6,54912.919999999925;1.08,1.5842955352896346;0.19929039993217412,0.15555179673571831;0.034997062697332285,7.0,1
