arnett_ni_mass,band_bc,band_extinction,band_t0,beta_req,distance,ebv_gal,ebv_host,host,lb,name,ni_khatami,peakL,peakt,prentice_ni,prentice_peakL,prentice_peakt,smoothing_bc,sn_type,sn_type_full,source,source_bc,t0,tail_meje,tail_ni_mass,ub,verbose
0.16271644592687601;0.044828279170020226,V;I,V;R,,0.80276542431284603;0.11752291311647003,3600000.0;200000.0,0.069;0.0001,0.11;0.003,M81,,SN1993J,0.083642834527548254;0.008683485153184867,42.418148639033753;41.434413963140749,21.499999999999979;6.3997026286111875,0.146;0.042;0.027,42.456;0.109;0.088,19.148;0.033,0.4,IIb,IIb,16,11,49074.0;0.0,3.5127761646677769;0.07592453469914949,0.082404368734067188;0.0011760591979685568,,1
0.10704193938088173;0.079729165072185054,V;I,V;R,V,5.2396282344269883e-05;0.028717992813080205,8580000.0;100000.0,0.0308;0.0015,0.4;0.04,M51,0.0,SN1994I,0.089950280103079538;0.0091780018664682286,42.62340879380114;41.632154415412735,7.9000000000000039;9.0955963817219576,0.102;0.164;0.059,42.473;0.409;0.363,12.252;0.211,0.4,Ic,Ic,6,6,49443.5;0.26,1.9875562200149872;0.10118843910747241,0.043999128471862506;0.0030155313107856096,7.0,1
0.04378850674043528;0.0079328230917477972,V;R,B;V,B,1.1159134206023085;0.19906240160822386,9780000.0;680000.0,0.0261;0.0005,0.0;0.014,NGC 3510,0.0,SN1996cb,0.024295407466387229;0.0033096044583131416,41.872757518332591;41.007009424093511,22.099999999999959;2.6852039574293189,0.055;0.036;0.021,42.082;0.179;0.163,16.993;1.650,0.3,IIb,IIb,7,7,50429.5;2.0,3.0836821017581433;0.09809737721723813,0.0306520130585024;0.0011558585667273901,7.0,1
0.69283714209917702;0.11456860970431235,V;I,V;R,,0.48197209240317312;0.14188411747660337,38100000.0;2650000.0,0.0494;0.0011,0.0;0.02,ESO 184-G82,,SN1998bw,0.49860755620619451;0.06157075140180189,43.166232503954255;42.257848101870131,17.099999999999959;1.8355215355793812,0.496;0.091;0.047,43.061;0.080;0.046,15.861;0.177,0.6,Ic,Ic BL,12,10;12,50928.89999999991;0.0,3.507224381231242;0.046703952282518474,0.30354219859315584;0.003450066868748171,,1
0.120283291865853;0.022087385288227762,V;I,V;R,,0.53482785578081049;0.13582169910179281,9770000.0;500000.0,0.0616;0.0018,0.01;0.02,M74,,SN2002ap,0.091440023363432696;0.0096062361760381933,42.498856403372663;41.520273334888707,13.599999999999987;2.9555271012275557,0.094;0.013;0.006,42.415;0.055;0.028,13.011;0.000,0.7,Ic,Ic BL,12,11;12,52300.0;2.5,3.635028639050697;0.079523110490088977,0.062012591362977453;0.002062136561289841,,1
0.27769410654806537;0.046358508251621321,V;R,B;V,R,0.29500516201387816;0.12386722708177723,77900000.0;5370000.0,0.0378;0.0005,0.0;0.1,MCG -01-59-21,0.0,SN2003jd,0.21232215801352705;0.021198473888114661,42.844059587088076;41.843368863938188,14.599999999999973;2.0747469630462048,0.341;0.128;0.082,42.988;0.134;0.115,12.504;0.179,1.0,Ic,Ic BL,0,0,52929.0;2.0,3.2589900782318471;0.055458796424693466,0.11632663943627614;0.0035469973406567967,7.0,1
0.23645161292253372;0.08039578320276862,V;I,V;R,V,1.0584933201836844;0.18895418102252143,73600000.0;5000000.0,0.0184;0.0009,0.37;0.08,NGC 3997,0.0,SN2004aw,0.16265607316964137;0.018531839576219639,42.710346446849307;41.766994695471453,15.49999999999998;6.3488322926849099,NA,42.659;0.063;0.056,NA,2.0,Ic,Ic,8,8,53076.5;6.0,5.3978592107027632;2.9207682141432301,0.15593761149750382;0.010914294549942487,7.0,1
0.080860893689406257;0.026035806892306543,B;V,V;r,r,0.57696176262817911;0.2551927439722565,26300000.0;1840000.0,0.0629;0.0004,0.12;0.02,NGC 1832,0.0,SN2004gq,0.062163305197091019;0.009850253290896685,42.35698729524151;41.556900595732635,12.399999999999988;4.3451904031421762,NA,42.388;0.046;0.028,NA,0.5,Ib,Ib,1,1;5,53346.10999999987;4.0,4.3255712337408037;0.21315626267418777,0.044444229230919403;0.0019769484944613456,7.0,1
0.56508286971517308;0.13386135282568826,V;R,V;R,R,0.8462783818181473;0.2754349444201698,87700000.0;6040000.0,0.0894;0.0021,0.52;0.08,UGC 1394,0.0,SN2005hg,0.43614690635916958;0.079725998092042921,43.08450267541037;42.346469843982995,18.399999999999952;3.078392931355836,NA,42.418;0.067;0.047,NA,1.0,Ib,Ib,6,6,53665.64999999991;2.0,6.8756168802039328;10.196306446515056,0.35631414079972745;0.012636775054211185,7.0,1
0.18672423979413399;0.043616477711737579,B;V,B;V,V,0.47221597022474154;0.21738914551473046,34600000.0;2400000.0,0.0643;0.0007,0.26;0.029,NGC 3054,0.0,SN2006T,0.10913661778934752;0.019030322167774814,42.62598419490589;41.867459844901589,15.499999999999963;4.1265804144856428,0.082;0.020;0.014,42.322;0.054;0.036,14.148;1.651,0.5,IIb,IIb,1,1,53764.45999999996;1.5,4.5678170462067484;0.14228012688546704,0.083305886071283392;0.0017264971773879572,7.0,1
