arnett_ni_mass,band_bc,band_extinction,band_t0,beta_req,distance,ebv_gal,ebv_host,host,lb,name,ni_khatami,peakL,peakt,prentice_ni,prentice_peakL,prentice_peakt,smoothing_bc,sn_type,sn_type_full,source,source_bc,t0,tail_meje,tail_ni_mass,ub,verbose
0.15231884650321581;0.02183147525365815,V;I,V;R,,0.80153012602889717;0.16450011447841423,3600000.0;200000.0,0.069;0.0001,0.11;0.003,M81,,SN1993J,0.083355061429308624;0.011947062037343231,42.407044390941692;41.56337353389678,21.999999999999975;0.0043448388253595014,0.146;0.042;0.027,42.456;0.109;0.088,19.148;0.033,0.4,IIb,IIb,16,11,49074.0;0.0,3.4650438108202142;0.30788101662412476,0.081008356280940441;0.0049223636143455752,,1
0.10840214725285864;0.0095333524304303963,V;I,V;R,V,0.00015586455562184378;4.3983040946062061e-05,8580000.0;100000.0,0.0308;0.0015,0.4;0.04,M51,0.0,SN1994I,0.091214330706336888;0.0078905392086230149,42.619407952831587;41.556451559239541,8.2000000000000046;0.26000000000000001,0.102;0.164;0.059,42.473;0.409;0.363,12.252;0.211,0.4,Ic,Ic,6,6,49443.5;0.26,1.7809603241477148;0.32045025515273462,0.047662381918410941;0.01479481143258086,7.0,1
0.043371743718131253;0.0086435159848392198,V;R,B;V,B,1.1712463442141852;0.27242300850706391,9780000.0;680000.0,0.0261;0.0005,0.0;0.014,NGC 3510,0.0,SN1996cb,0.023844668348098796;0.0043067324337554488,41.867741499948743;41.124498104671389,21.69999999999996;2.0000058970153316,0.055;0.036;0.021,42.082;0.179;0.163,16.993;1.650,0.3,IIb,IIb,7,7,50429.5;2.0,3.0254028978582577;0.45728425263867323,0.030497453793457481;0.0034714785985292774,7.0,1
0.66912794807310538;0.11050540092814974,V;I,V;R,,0.50022920728268938;0.1921197086786719,38100000.0;2650000.0,0.0494;0.0011,0.0;0.02,ESO 184-G82,,SN1998bw,0.48781585008193762;0.080561840576338695,43.163580055566008;42.381453528166979,16.599999999999959;0.0056595324367608611,0.496;0.091;0.047,43.061;0.080;0.046,15.861;0.177,0.6,Ic,Ic BL,12,10;12,50928.89999999991;0.0,3.4042087951465088;0.45394128262623129,0.30024483318492023;0.012693066630274343,,1
0.11067470314510292;0.02248726775647376,V;I,V;R,,0.63840440212019922;0.19801153524693049,9770000.0;500000.0,0.0616;0.0018,0.01;0.02,M74,,SN2002ap,0.084484910494350154;0.011379092498723185,42.472568695223607;41.601897174659086,13.099999999999989;2.5043645834239561,0.094;0.013;0.006,42.415;0.055;0.028,13.011;0.000,1.0,Ic,Ic BL,12,11;12,52300.0;2.5,3.5432847493760269;0.38287430839853287,0.061638884584986363;0.0034242920792825378,,1
0.29331939316815064;0.063155751656148826,V;R,B;V,R,0.28692764847495433;0.21143805301167029,77900000.0;5370000.0,0.0378;0.0005,0.0;0.1,MCG -01-59-21,0.0,SN2003jd,0.22101322249223532;0.040010561452568393,42.850891756817255;42.108648145654726,14.999999999999972;2.0770371531881295,0.341;0.128;0.082,42.988;0.134;0.115,12.504;0.179,1.0,Ic,Ic BL,0,0,52929.0;2.0,3.1681222305667855;0.50369318805388952,0.11699044606600595;0.013993178686539511,7.0,1
0.21608262793908672;0.073711485709195251,V;I,V;R,V,1.0251444019358626;0.25717372153204077,73600000.0;5000000.0,0.0184;0.0009,0.37;0.08,NGC 3997,0.0,SN2004aw,0.16353531935395046;0.027243857362486915,42.708197576535305;41.929854610984847,15.59999999999998;6.0414755961259443,NA,42.659;0.063;0.056,NA,5.0,Ic,Ic,8,8,53076.5;6.0,4.692171969770583;2.8741937776131414,0.15090842957193834;0.029724879053791509,7.0,1
0.082472614554772561;0.028528131432059838,B;V,V;r,r,0.5902448010393565;0.31952657180847643,26300000.0;1840000.0,0.0629;0.0004,0.12;0.02,NGC 1832,0.0,SN2004gq,0.061978405632443577;0.012865395880197875,42.355358919210992;41.672541673598026,12.299999999999988;4.0004924211961326,NA,42.388;0.046;0.028,NA,0.5,Ib,Ib,1,1;5,53346.10999999987;4.0,4.5197099070084938;2.3180423538197563,0.043825390255116843;0.0076678725631141569,7.0,1
0.62722586275518077;0.12815801239727756,V;R,V;R,R,0.83063125605102694;0.23016023721994588,87700000.0;6040000.0,0.0894;0.0021,0.52;0.08,UGC 1394,0.0,SN2005hg,0.44684619868505437;0.081009723092368521,43.085460281430414;42.343839361349673,18.799999999999951;2.0054711161148577,NA,42.418;0.067;0.047,NA,2.0,Ib,Ib,6,6,53665.64999999991;2.0,4.4746800726914469;0.60027352299341408,0.35300178200260784;0.038704781558706824,7.0,1
0.18340468539359631;0.047034556901630407,B;V,B;V,V,0.48610407608027578;0.29583272031662755,34600000.0;2400000.0,0.0643;0.0007,0.26;0.029,NGC 3054,0.0,SN2006T,0.10980240432158;0.026230237494342671,42.626099312984039;42.004289685911246,15.499999999999963;1.5002485369181231,0.082;0.020;0.014,42.322;0.054;0.036,14.148;1.651,0.5,IIb,IIb,1,1,53764.45999999996;1.5,4.4871699063557466;0.92313281310910622,0.082340784783924453;0.011712112929416423,7.0,1
