arnett_ni_mass,band_bc,band_extinction,band_t0,beta_req,distance,ebv_gal,ebv_host,host,lb,name,ni_khatami,peakL,peakt,prentice_ni,prentice_peakL,prentice_peakt,smoothing_bc,sn_type,sn_type_full,source,source_bc,t0,tail_meje,tail_ni_mass,ub,verbose
0.15280826634460953;0.021921105259164079,V;I,V;R,,0.7245396620112573;0.14244216556488054,3600000.0;200000.0,0.069;0.0001,0.11;0.003,M81,,SN1993J,0.083542023870544962;0.011984510587429687,42.406612082156123;41.563327393385521,22.099999999999973;0.0040470147837955656,0.146;0.042;0.027,42.456;0.109;0.088,19.148;0.033,0.4,IIb,IIb,16,11,49074.0;0.0,3.5554066172669954;5.1408941960377086e-09,0.087414168564341685;0.013244493834864935,,1
0.10948908889852521;0.0097598023880324705,V;I,V;R,V,0.25158719838691018;0.11157190278266238,8580000.0;100000.0,0.0308;0.0015,0.4;0.04,M51,0.0,SN1994I,0.091369812288908517;0.007945845920509351,42.620147609721421;41.55948501633749,8.2000000000000046;0.26000000000000001,0.102;0.164;0.059,42.473;0.409;0.363,12.252;0.211,0.4,Ic,Ic,6,6,49443.5;0.26,1.5575480261861923;0.012123613077257617,0.065718091975608628;0.0060992769325340966,7.0,1
0.044120922567729842;0.0087351410446157574,V;R,B;V,B,1.0269301715186494;0.23631412827877385,9780000.0;680000.0,0.0261;0.0005,0.0;0.014,NGC 3510,0.0,SN1996cb,0.024056795601779635;0.0043435089991548607,41.867350193277723;41.123953140691583,21.999999999999957;2.0000059164543642,0.055;0.036;0.021,42.082;0.179;0.163,16.993;1.650,0.3,IIb,IIb,7,7,50429.5;2.0,3.0891353029690256;0.027212247711107907,0.032620267791914591;0.0065911345673858755,7.0,1
0.67689667979758028;0.11228206355283139,V;I,V;R,,0.41414893821578991;0.1498139323068623,38100000.0;2650000.0,0.0494;0.0011,0.0;0.02,ESO 184-G82,,SN1998bw,0.4923369563834718;0.081667603408502348,43.163815738079904;42.383603112661362,16.799999999999958;0.0056570380933265536,0.496;0.091;0.047,43.061;0.080;0.046,15.861;0.177,0.6,Ic,Ic BL,12,10;12,50928.89999999991;0.0,3.4988337697521095;4.5090778542780346e-08,0.31183579457563299;0.056176730370709277,,1
0.11607385296765546;0.023230024880044175,V;I,V;R,,0.50672392091490648;0.14337452733979722,9770000.0;500000.0,0.0616;0.0018,0.01;0.02,M74,,SN2002ap,0.087421966592543698;0.011859506006438668,42.472626331500358;41.605072358993517,13.799999999999986;2.5042677818251042,0.094;0.013;0.006,42.415;0.055;0.028,13.011;0.000,1.0,Ic,Ic BL,12,11;12,52300.0;2.5,3.6364108665817798;0.047906696575124197,0.065436504940622892;0.0097909272044517728,,1
0.21799161568029518;0.082928442294093407,V;I,V;R,V,0.84449123986267305;0.20484635140028062,73600000.0;5000000.0,0.0184;0.0009,0.37;0.08,NGC 3997,0.0,SN2004aw,0.16071510829563382;0.026718685779837006,42.708539911886824;41.929298299170362,15.199999999999982;6.0437008696090242,NA,42.659;0.063;0.056,NA,5.0,Ic,Ic,8,8,53076.5;6.0,4.7486005134422866;0.2396864263290055,0.15780627494316002;0.029405941924322929,7.0,1
0.080786112242637154;0.027017184431387356,B;V,V;r,r,0.44609356792025262;0.22839736707186134,26300000.0;1840000.0,0.0629;0.0004,0.12;0.02,NGC 1832,0.0,SN2004gq,0.062529737545884048;0.013013409892448206,42.354829288157823;41.673133791601813,12.499999999999988;4.0004828915774606,NA,42.388;0.046;0.028,NA,0.5,Ib,Ib,1,1;5,53346.10999999987;4.0,4.6281170744645115;0.11390784439749406,0.045056370107001587;0.015488384677711929,7.0,1
0.60410900834127379;0.12880712270773959,B;V,B;V,,0.82926488820748379;0.22021060306380685,85500000.0;5890000.0,0.0384;0.0004,0.0;0.069,MCG +00-27-05,0.0,SN2005bf,0.42170963146367063;0.085360945957234521,42.775770804465871;42.082016503677117,43.500000000000192;5.0,0.131;0.026;0.017,42.426;0.071;0.052,18.325;0.351,1.0,Ib,Ib,2,2,53457.0;5.0,1.574151945965506;0.89940809989367776,0.35067993094135286;0.1232970597216607,7.0,1
0.61387803574998689;0.13327326517626023,V;R,V;R,R,0.70409506774414465;0.189096523218935,87700000.0;6040000.0,0.0894;0.0021,0.52;0.08,UGC 1394,0.0,SN2005hg,0.44568178734172431;0.080959599336173263,43.08607783221953;42.345321295295761,18.699999999999953;2.0050975909889943,NA,42.418;0.067;0.047,NA,2.0,Ib,Ib,6,6,53665.64999999991;2.0,4.5860885283404462;0.062157817507886834,0.36955400964167195;0.075592981708825294,7.0,1
0.18579876919930782;0.048289800220255558,B;V,B;V,V,0.40689196898370206;0.22652150538044832,34600000.0;2400000.0,0.0643;0.0007,0.26;0.029,NGC 3054,0.0,SN2006T,0.11234599327261729;0.027191023297518945,42.626193328910198;42.010061292616726,16.099999999999959;1.5002612513517402,0.082;0.020;0.014,42.322;0.054;0.036,14.148;1.651,0.5,IIb,IIb,1,1,53764.45999999996;1.5,4.6382195440772005;0.043690458841298831,0.086935963830291577;0.024467817621739076,7.0,1
0.10911295028791937;0.025205395312470701,V;I;r,V;i,R,0.61634712771565481;0.21311683424340061,70000000.0;7000000.0,0.0975;0.0012,0.068;0.037,UGC 12188,0.0,SN2006el,0.059858696111034018;0.013715034478196383,42.270320908331833;41.630390559580832,21.499999999999964;0.71421992142530011,NA,42.237;0.086;0.063,NA,1.0,IIb,IIb,4,4;6,53962.299999999814;0.7,4.0833471301877413;0.018016991988197083,0.055001852809684795;0.012703489905289625,7.0,1
0.14152459051299726;0.063440591488451575,B;V,V;i,V,0.26082657544612675;0.17369821826989021,61700000.0;4270000.0,0.0306;0.0005,0.33;0.05,NGC 214,0.0,SN2006ep,0.10730876204605205;0.020334053054953668,42.547206907471264;41.824795675126659,14.499999999999966;7.0003785936043252,0.067;0.019;0.014,42.142;0.075;0.060,18.002;1.653,1.0,Ib,Ib,5,2,53970.5;7.0,3.6267548594829861;0.13845999444250379,0.060701347330050295;0.021837391030516483,7.0,1
0.070108257397708915;0.017745691206985371,V;I,V;R,V,0.59299317677720753;0.22373892665765902,8970000.0;630000.0,0.0532;0.0005,0.15;0.11,NGC 1058,0.0,SN2007gr,0.057157579079974541;0.0096728338767366941,42.377375220039838;41.605855123329448,9.800000000000006;2.5006059403222651,0.073;0.020;0.013,42.299;0.099;0.079,13.146;0.229,5.0,Ic,Ic,9,9,54329.72999999998;2.5,4.0940429662787148;0.061638949058464391,0.050304225782823245;0.008851054830561195,7.0,1
0.271874547928662;0.069805693859939941,V;I,V;R,V,0.096388877154809247;0.11936384475128063,60900000.0;4220000.0,0.2217;0.0046,0.0;0.02,UGC 1238,0.0,SN2007ru,0.20852158008177418;0.035351455224634704,42.904588054237088;42.133844343095276,11.300000000000008;3.0075187222564783,0.323;0.044;0.024,43.033;0.054;0.032,10.242;0.047,1.0,Ic,Ic BL,8,8,54429.5;3.0,3.4607911776784586;0.051387211090259323,0.10903039706756509;0.02004795786638788,7.0,1
0.29026068780081227;0.08271992335992151,B;V,B;V,V,0.52836878052554692;0.22857944458909968,31400000.0;2180000.0,0.0192;0.0003,0.53;0.02,	NGC 2770,0.0,SN2007uy,0.21124823908980275;0.048675533638740984,42.803915105532745;42.166432729529078,16.399999999999959;3.500826220641724,0.394;0.604;0.215,42.887;0.398;0.338,19.075;0.284,1.0,Ib,Ib pec,4,4,54463.950000000186;3.5,3.8595826875104384;0.067010156323854889,0.15028984710100135;0.049498636697642796,7.0,1
0.065642203282783779;0.011275554967724014,V;I;r,V;r,,0.73174479987198227;0.17793450566845259,31400000.0;2180000.0,0.0193;0.0002,0.47;0.037,NGC 2770,,SN2008D,0.046177926712135962;0.0079179218587519373,42.080896217101895;41.315072998379684,19.899999999999963;0.20622357986455772,0.111;0.167;0.059,42.333;0.393;0.325,19.293;0.229,1.0,Ib,Ib,4,4,54474.56399999978;0.0,3.2894744585622062;3.8207375426350128e-09,0.038906635262503798;0.0062048924542666001,,1
0.11813308724553502;0.023011233978528712,V;R,B;V,r,0.67561522262590079;0.18217067011720867,9200000.0;640000.0,0.0188;0.0002,0.25;0.04,NGC 4490,0.0,SN2008ax,0.065137624359239074;0.012194972065557927,42.31131821138667;41.583667105899316,21.19999999999996;1.195691668638744,0.109;0.021;0.014,42.326;0.075;0.056,19.283;0.127,0.1,IIb,IIb,12,17,54528.299999999814;1.0,3.1626379727031204;0.010649888738851686,0.06457399159544544;0.012803328134456587,7.0,1
0.19187249392037939;0.035926238180177275,V;I,V;R,B,1.3306408806857115;0.30487071553796374,40100000.0;2830000.0,0.0847;0.001,0.4;0.08,NGC 3278,0.0,SN2009bb,0.15254277745682487;0.026091108876550355,42.775667878421345;42.008768765864062,11.000000000000007;1.0882769119897444,0.258;0.119;0.073,42.863;0.162;0.143,12.631;0.095,3.0,Ic,Ic BL,6,6,54912.919999999925;1.08,1.3629884879456551;0.021369422821996421,0.21589896984983198;0.040056232816461132,7.0,1
0.29474742226291034;0.066419332637298864,V;I,V;R,B,0.75994397294018745;0.17350716929460369,33800000.0;2350000.0,0.097;0.0013,0.07;0.065,NGC 7479,0.0,SN2009jf,0.20268550157803275;0.034316332592905098,42.683210206093925;41.911888390421282,22.399999999999956;4.2044933529398172,0.271;0.051;0.035,42.682;0.072;0.057,21.267;0.164,1.0,Ib,Ib,5;8,8,55099.54000000004;4.2,5.1388995267367212;0.12683856077412412,0.17169126167482987;0.030088174794354754,7.0,1
