3p0Cx1,2.530(1),9.147(41),3.87(-2)
3p0Cx2,2.375(1),9.060(41),3.93(-2)
3p0Ax1,2.296(1),1.414(42),5.78(-2)
3p0Ax2,2.228(1),1.480(42),6.15(-2)
3p0Bx2,1.934(1),1.818(42),7.02(-2)
3p65Cx1,2.826(1),9.412(41),4.45(-2)
3p65Cx2,2.665(1),9.386(41),4.50(-2)
3p65Ax1,2.631(1),1.648(42),7.42(-2)
3p65Ax2,2.487(1),1.661(42),7.66(-2)
3p65Bx2,2.209(1),2.268(42),1.01(-1)
3p65Dx2,1.767(1),2.770(42),1.05(-1)
4p64Cx1,3.183(1),7.623(41),3.96(-2)
4p64Ax1,2.716(1),1.318(42),6.20(-2)
4p64Ax2,2.678(1),1.427(42),6.81(-2)
4p64Bx1,2.292(1),2.008(42),8.76(-2)
4p64Bx2,2.285(1),2.098(42),8.85(-2)
4p64Dx2,1.941(1),2.707(42),1.09(-1)
5p11Ax1,3.584(1),1.590(42),8.94(-2)
5p11Ax2,3.088(1),1.703(42),9.46(-2)
5p11Bx1,3.143(1),3.570(42),1.89(-1)
5p11Bx2,2.919(1),3.460(42),1.88(-1)
6p5Ax1,4.212(1),1.495(42),9.90(-2)
6p5Ax2,3.539(1),1.623(42),1.02(-1)
6p5Bx1,3.978(1),3.934(42),2.44(-1)
6p5Bx2,3.562(1),3.856(42),2.42(-1)
6p5Gx1,3.041(1),5.261(42),2.89(-1)
6p5Gx2,2.905(1),5.212(42),2.88(-1)
