name,p,b,f
SN1993J,63.3680482185,16.9772941262,0.234337920018
SN1994I,3.85010748325,32.8734252352,0.477468271166
SN1998bw,14.114283059,9.01362331197,0.38451193594
SN2002ap,17.7951106152,32.0287335727,0.270415459704
SN2003jd,14.1535220739,13.3782039113,0.470663136138
SN2004aw,42.1804890371,37.2979497304,0.0772120043052
SN2004gq,15.5623266746,37.6929711193,0.292892583991
SN2005hg,25.4123083669,11.1063213483,0.210015027449
SN2006T,20.9836328239,18.3629451752,0.388965669841
SN2006el,62.3944867689,18.2256262728,0.314074938008
SN2006ep,19.210332518,19.0279711192,0.471677992666
SN2007gr,8.21461769306,59.9492724821,0.175246280627
SN2007ru,6.39545400761,16.9530001477,0.502482570828
SN2007uy,21.0087759591,15.846507816,0.313333001309
SN2008D,84.3215447905,31.2113248089,0.222088493201
SN2008ax,62.5476417111,17.9245841568,0.287887148105
SN2009jf,51.8127603581,13.2867745927,0.18968355053
SN2011dh,54.4334516521,19.4292453016,0.21529482677
iPTF13bvn,33.9085349818,22.8875114666,0.424159927027
SN2013df,53.897735405,13.2742701763,0.36607844263
SN2013ge,41.8012440991,27.7561518316,0.23928609645
SN2014ad,19.6607416721,13.7374786785,0.363818262013
SN2016coi,24.872434345,13.6628095275,0.300058450995
SN2016gkg,56.22047162,40.1552207841,0.150653994556
SN2017gax,24.6257925527,30.6151589802,0.236861419975
