arnett_ni_mass,band_bc,band_extinction,band_t0,beta_req,distance,ebv_gal,ebv_host,host,lb,name,peakL,peakt,prentice_ni,prentice_peakL,prentice_peakt,smoothing_bc,sn_type,source,source_bc,t0,tail_meje,tail_ni_mass,ub,verbose
0.067736666548845151; 0.0082388505492971848,V; I; r,V; r,,4367.8548730351367; 265.31943517503578,31400000.0; 2180000.0,0.0193; 0.0002,0.47; 0.037,NGC 2770,,SN2008D,42.092610769895515; 41.177653574459761,19.699999999999967,0.111; 0.167; 0.059,42.333; 0.393; 0.325,19.293; 0.229,1.0,Ib,4,4,54474.56399999978; None,3.2738020316122389; 0.058939211073611074,0.035477367596348425; 0.00055376594464919275,,1
0.14518267952590452; 0.018403847186512272,V; R,V; R,,4116.3878399086116; 262.49893965973371,8580000.0; 100000.0,0.0309; 0.0017,0.07; 0.061,M51,,SN2011dh,42.39937339643874; 41.502367207366646,20.899999999999942,0.075; 0.011; 0.006,42.246; 0.057; 0.036,15.712; 0.017,1.0,IIb,17,17,55712.0; None,3.3038832789691566; 0.055223945709733588,0.072232672266882958; 0.0010979064035023653,,1
0.12689499292238135; 0.027259766774181213,V; R,B; V,r,3741.0643113845044; 451.84088480737836,9200000.0; 640000.0,0.0188; 0.0002,0.25; 0.04,NGC 4490,0.0,SN2008ax,42.321821184173359; 41.653898834150731,21.899999999999942,0.109; 0.021; 0.014,42.326; 0.075; 0.056,19.283; 0.127,1.0,IIb,12,17,54528.299999999814; None,3.4378079157625692; 0.053561776864527955,0.053196588033142478; 0.00069306134327716692,7.0,1
0.087321969203361618; 0.007215296899591662,V; I,B; V,,5480.4540428602959; 225.628490289875,19700000.0; 1380000.0,0.0166; 0.0002,0.2; 0.17,NGC 613,,SN2016gkg,42.288251577833073; 41.205382263303356,15.999999999999979,,,,0.4,IIb,1;  8,1,57655.2080000001; None,3.7248399123192195; 0.30823569065953876,0.05797263068508509; 0.0023450328897077133,,1
0.12440045392754709; 0.030529235851353777,V; I,V; R,,3522.5186532801949; 523.76645977023134,17900000.0; 1000000.0,0.0168; 0.0002,0.1; 0.04,NGC 4414,,SN2013df,42.283135131706722; 41.673029100659541,23.599999999999969,0.144; 0.028; 0.019,42.397; 0.074; 0.058,21.793; 0.103,0.3,IIb,8,8,56447.299999999814; 0.9,3.9106581945782337; 0.066472301441624776,0.048640608457563579; 0.00056181352530772991,,1
0.25110475707010982; 0.029300519323988573,V; I,V; R,,4157.5385494224683; 247.33853623066332,3600000.0; 200000.0,0.069; 0.0001,0.3; 0.04,M81,,SN1993J,42.633411773200486; 41.700432150771277,21.099999999999959,0.146; 0.042; 0.027,42.456; 0.109; 0.088,19.148; 0.033,1.0,IIb,16,11,49074.0; 0.9,3.428606468257311; 0.067676356712592631,0.12776659846249927; 0.0016775060074277458,,1
0.084961318712035341; 0.0090373700620495316,V; I,V; R,r,4569.3287208934871; 249.55113509285007,23900000.0; 1670000.0,0.0436; 0.0006,0.1; 0.04,NGC 5806,0.0,iPTF13bvn,42.254118354533951; 41.280939176046083,16.899999999999977,0.070; 0.012; 0.006,42.211; 0.067; 0.037,15.953; 0.098,1.0,Ib,1; 2,2,56458.669999999925; 0.9,2.9060474985245639; 0.098228008956294188,0.04147079413624194; 0.0011428525751817297,7.0,1
0.30050786913634414; 0.041355099433747253,V; I,V; R,B,4188.3597000772152; 297.36318826189478,33800000.0; 2350000.0,0.097; 0.0013,0.07; 0.065,NGC 7479,0.0,SN2009jf,42.679953015272027; 41.818626235670777,22.799999999999937,0.271; 0.051; 0.035,42.682; 0.072; 0.057,21.267; 0.164,1.0,Ib,5; 8,8,55099.0; 1.0,4.9601819127691371; 0.1122187115687982,0.16852201902008843; 0.0014127136431441262,7.0,1
0.12255347069004698; 0.037883619056632879,B; V,V; R,V,4756.4255896532441; 1594.6698715479724,23700000.0; 1650000.0,0.0198; 0.0002,0.1; 0.1,NGC 3287,0.0,SN2013ge,42.387347924170946; 41.877473770135367,17.999999999999954,0.109; 0.032; 0.023,42.335; 0.077; 0.064,18.878; 1.697,4.5,Ib,2,2,56602.5; 2.0,3.7058045819312113; 0.10723825528042552,0.063450111804307929; 0.0013881337348847949,7.0,1
0.12402325969895688; 0.021813495332775316,V; I,V; R,V,5494.8022855020299; 515.07908449036586,8580000.0; 100000.0,0.0308; 0.0015,0.4; 0.04,M51,0.0,SN1994I,42.629636754771802; 41.874858874338116,9.5000000000000053,0.102; 0.164; 0.059,42.473; 0.409; 0.363,12.252; 0.211,0.4,Ic,6,6,49441.939999999944; 2.0,1.9624547838546709; 0.10736711716948938,0.044385065417537908; 0.0030682838087371374,7.0,1
0.16518105466162719; 0.03603488136896537,V; I,V; R,V,8230.5144917546477; 1051.0267752508692,73600000.0; 5000000.0,0.0184; 0.0009,0.37; 0.08,NGC 3997,0.0,SN2004aw,42.715505351019196; 42.054268212963827,10.69999999999998,NA,42.659; 0.063; 0.056,NA,2.0,Ic,8,8,53081.0; 3.0,3.4421742692750281; 0.30967639330604629,0.15176398939654404; 0.0058900823885144338,7.0,1
0.69067188045706585; 0.08621372706662124,V; I,V; R,,4227.5369699300709; 284.83206061555285,38100000.0; 2650000.0,0.0494; 0.0011,0.0; 0.02,ESO 184-G82,,SN1998bw,43.16659163724642; 42.262896282736151,16.799999999999958,0.496; 0.091; 0.047,43.061; 0.080; 0.046,15.861; 0.177,0.6,Ic,12,10; 12,50928.89999999991; 3.0,3.582554347292187; 0.047464167841311002,0.28663623814281131; 0.0030322028396224361,,1
0.27013087847516126; 0.030449354719384095,V; I,V; R,V,4928.8784885155774; 276.50240925266849,60900000.0; 4220000.0,0.2217; 0.0046,0.0; 0.02; UGC 1238,0.0,SN2007ru,42.904301116333485; 41.956304978932373,11.500000000000009,0.323; 0.044; 0.024,43.033; 0.054; 0.032,10.242; 0.047,1.0,Ic,8,8,54429.5; 3.0,3.5489795023714992; 0.059975140795744605,0.099915709833246588; 0.0013630534715640549,7.0,1
0.24869274410833667; 0.047368977123823937,V; I,V; R,B,4666.8237411800756; 470.30900986437661,40100000.0; 2830000.0,0.0847; 0.001,0.4; 0.08,NGC 3278,0.0,SN2009bb,42.790144946201643; 42.069975838540245,14.20000000000001,0.258; 0.119; 0.073,42.863; 0.162; 0.143,12.631; 0.095,2.5,Ic,6,6,54909.10000000009; 0.6,2.5542566335458474; 0.13172098656516162,0.10342660199552237; 0.0049996836339625764,7.0,1
0.32064525133417604; 0.046514315273308605,V; I,V; R,B,5006.3903557995673; 375.02004240487236,18100000.0; 1260000.0,0.0737; 0.0021,0.27; 0.08,UGC 11868,0.0,SN2016coi,42.840683852355191; 42.002245672022653,16.499999999999957,,,,2.5,Ic,1,1,57534.189999999944; 1.5,3.8163300197675114; 0.074466508097105436,0.18169396541098465; 0.0026154123562713038,7.0,1
0.053644938146152059; 0.0059555690940035237,V; I,V; R,,22113.652788781405; 1246.3389610101408,9770000.0; 500000.0,0.0616; 0.0018,0.01; 0.02,M74,,SN2002ap,42.500613578298854; 41.546008096933811,3.0000000000000018,0.094; 0.013; 0.006,42.415; 0.055; 0.028,13.011; 0.000,0.7,Ic,12,11; 12,52310.799999999814; 0.5,3.4023014807313312; 0.095410769672928025,0.054171292025745679; 0.0014274784489678328,,1
0.098740421567939995; 0.028664175395768234,V; I,V; R,V,5392.0955762197618; 996.25984660991844,8970000.0; 630000.0,0.0532; 0.0005,0.15; 0.11,NGC 1058,0.0,SN2007gr,42.394476870045345; 41.857321345565708,13.999999999999986,0.073; 0.020; 0.013,42.299; 0.099; 0.079,13.146; 0.229,3.5,Ic,9,9,54323.5; 2.0,3.9731156861267469; 0.066634490984874825,0.051018032149920463; 0.00056275249356370881,7.0,1
