   SN1993J &          M81 &    IIb &        3.6 (       0.2) &     0.0690 (    0.0001) &       0.11 (      0.00) &    49074.0 (       0.0) \\
   SN1994I &          M51 &     Ic &        8.6 (       0.1) &     0.0308 (    0.0015) &       0.40 (      0.04) &    49443.5 (       0.3) \\
  SN1996cb &     NGC 3510 &    IIb &        9.8 (       0.7) &     0.0261 (    0.0005) &       0.00 (      0.01) &    50429.5 (       2.0) \\
  SN1998bw &  ESO 184-G82 &  Ic BL &       38.1 (       2.6) &     0.0494 (    0.0011) &       0.00 (      0.02) &    50928.9 (       0.0) \\
  SN2002ap &          M74 &  Ic BL &        9.8 (       0.5) &     0.0616 (    0.0018) &       0.01 (      0.02) &    52300.0 (       2.5) \\
  SN2003jd & MCG -01-59-21 &  Ic BL &       77.9 (       5.4) &     0.0378 (    0.0005) &       0.00 (      0.10) &    52929.0 (       2.0) \\
  SN2004aw &     NGC 3997 &     Ic &       73.6 (       5.0) &     0.0184 (    0.0009) &       0.37 (      0.08) &    53076.5 (       6.0) \\
  SN2004gq &     NGC 1832 &     Ib &       26.3 (       1.8) &     0.0629 (    0.0004) &       0.12 (      0.02) &    53346.1 (       4.0) \\
  SN2005hg &     UGC 1394 &     Ib &       87.7 (       6.0) &     0.0894 (    0.0021) &       0.52 (      0.08) &    53665.6 (       2.0) \\
   SN2006T &     NGC 3054 &    IIb &       34.6 (       2.4) &     0.0643 (    0.0007) &       0.26 (      0.03) &    53764.5 (       1.5) \\
  SN2006el &    UGC 12188 &    IIb &       70.0 (       7.0) &     0.0975 (    0.0012) &       0.07 (      0.04) &    53962.3 (       0.7) \\
  SN2006ep &      NGC 214 &     Ib &       61.7 (       4.3) &     0.0306 (    0.0005) &       0.33 (      0.05) &    53970.5 (       7.0) \\
  SN2007gr &     NGC 1058 &     Ic &        9.0 (       0.6) &     0.0532 (    0.0005) &       0.15 (      0.11) &    54329.7 (       2.5) \\
  SN2007ru &     UGC 1238 &  Ic BL &       60.9 (       4.2) &     0.2217 (    0.0046) &       0.00 (      0.02) &    54429.5 (       3.0) \\
  SN2007uy &    	NGC 2770 &  Ib pe &       31.4 (       2.2) &     0.0192 (    0.0003) &       0.53 (      0.02) &    54464.0 (       3.5) \\
   SN2008D &     NGC 2770 &     Ib &       31.4 (       2.2) &     0.0193 (    0.0002) &       0.47 (      0.04) &    54474.6 (       0.0) \\
  SN2008ax &     NGC 4490 &    IIb &        9.2 (       0.6) &     0.0188 (    0.0002) &       0.25 (      0.04) &    54528.3 (       1.0) \\
  SN2009bb &     NGC 3278 &  Ic BL &       40.1 (       2.8) &     0.0847 (    0.0010) &       0.40 (      0.08) &    54912.9 (       1.1) \\
  SN2009jf &     NGC 7479 &     Ib &       33.8 (       2.4) &     0.0970 (    0.0013) &       0.07 (      0.06) &    55099.5 (       4.2) \\
  SN2011bm &      IC 3918 &     Ic &       99.2 (       6.8) &     0.0285 (    0.0005) &       0.00 (      0.15) &    55645.5 (       0.5) \\
  SN2011dh &          M51 &    IIb &        8.6 (       0.1) &     0.0309 (    0.0017) &       0.15 (      0.03) &    55712.0 (       0.0) \\
 iPTF13bvn &     NGC 5806 &     Ib &       23.9 (       1.7) &     0.0436 (    0.0006) &       0.15 (      0.04) &    56458.3 (       0.8) \\
  SN2013df &     NGC 4414 &    IIb &       17.9 (       1.0) &     0.0168 (    0.0002) &       0.20 (      0.04) &    56447.3 (       0.9) \\
  SN2013ge &     NGC 3287 &     Ib &       23.7 (       1.6) &     0.0198 (    0.0002) &       0.10 (      0.10) &    56602.3 (       4.7) \\
  SN2014ad &    PGC 37625 &  Ic BL &       26.7 (       1.9) &     0.0380 (    0.0012) &       0.10 (      0.07) &    56724.5 (       3.0) \\
 SN2016coi &    UGC 11868 &  Ic BL &       18.1 (       1.3) &     0.0737 (    0.0021) &       0.27 (      0.08) &    57533.2 (       2.1) \\
 SN2016gkg &      NGC 613 &    IIb &       19.7 (       1.4) &     0.0166 (    0.0002) &       0.20 (      0.17) &    57655.2 (       0.0) \\
