   SN1993J &    V-I &      42.42 (     41.42) &       21.4 (       6.3) &      0.080 (     0.001) &      110.5 (       2.4) &       0.17 (      0.04) &       0.78 (      0.12) \\
   SN1994I &    V-I &      42.62 (     41.63) &        8.2 (       8.6) &      0.047 (     0.005) &       57.5 (       4.4) &       0.11 (      0.06) &       0.00 (      0.05) \\
  SN1996cb &    V-R &      41.87 (     41.02) &       22.2 (       2.7) &      0.030 (     0.001) &       96.1 (       3.3) &       0.05 (      0.01) &       1.07 (      0.21) \\
  SN1998bw &    V-I &      43.16 (     42.24) &       16.4 (       1.8) &      0.297 (     0.004) &      109.0 (       1.5) &       0.66 (      0.11) &       0.48 (      0.14) \\
  SN2002ap &    V-I &      42.48 (     41.47) &       13.7 (       2.7) &      0.061 (     0.002) &      114.0 (       2.5) &       0.11 (      0.03) &       0.56 (      0.15) \\
  SN2003jd &    V-R &      42.84 (     41.84) &       15.4 (       2.1) &      0.114 (     0.004) &      101.3 (       1.8) &       0.31 (      0.05) &       0.26 (      0.11) \\
  SN2004aw &    V-I &      42.71 (     41.76) &       16.3 (       6.4) &      0.149 (     0.009) &      164.8 (      76.6) &       0.22 (      0.08) &       0.95 (      0.17) \\
  SN2004gq &    B-V &      42.36 (     41.56) &       12.1 (       4.4) &      0.043 (     0.002) &      136.5 (       7.0) &       0.08 (      0.03) &       0.53 (      0.25) \\
  SN2005hg &    V-R &      43.08 (     42.36) &       18.7 (       3.1) &      0.353 (     0.010) &      141.9 (       7.4) &       0.63 (      0.16) &       0.81 (      0.30) \\
   SN2006T &    B-V &      42.63 (     41.86) &       15.6 (       4.2) &      0.082 (     0.002) &      144.2 (       4.6) &       0.19 (      0.04) &       0.44 (      0.22) \\
  SN2006el &  V-I-r &      42.27 (     41.19) &       21.6 (       2.0) &      0.051 (     0.001) &      126.6 (       1.8) &       0.11 (      0.01) &       0.66 (      0.09) \\
  SN2006ep &    B-V &      42.55 (     41.88) &       15.4 (       7.2) &      0.059 (     0.006) &      109.6 (       9.8) &       0.10 (      0.04) &       0.28 (      0.28) \\
  SN2007gr &    V-I &      42.38 (     41.57) &        8.7 (       2.8) &      0.047 (     0.002) &      126.0 (       3.7) &       0.07 (      0.02) &       0.80 (      0.35) \\
  SN2007ru &    V-I &      42.90 (     41.97) &       10.7 (       3.2) &      0.101 (     0.004) &      108.5 (       2.8) &       0.26 (      0.07) &       0.00 (      0.11) \\
  SN2007uy &    B-V &      42.80 (     41.91) &       16.7 (       3.6) &      0.141 (     0.007) &      117.4 (       3.5) &       0.29 (      0.09) &       0.58 (      0.16) \\
   SN2008D &  V-I-r &      42.09 (     41.16) &       20.3 (       1.7) &      0.036 (     0.001) &      102.8 (       1.8) &       0.07 (      0.01) &       0.75 (      0.14) \\
  SN2008ax &    V-R &      42.30 (     41.51) &       21.6 (       1.8) &      0.059 (     0.001) &       99.2 (       2.0) &       0.12 (      0.02) &       0.72 (      0.21) \\
  SN2009bb &    V-I &      42.78 (     41.85) &       10.9 (       1.2) &      0.153 (     0.036) &       51.3 (       6.7) &       0.19 (      0.03) &       1.15 (      0.25) \\
  SN2009jf &    V-I &      42.68 (     41.82) &       21.6 (       4.6) &      0.162 (     0.007) &      158.8 (       6.7) &       0.28 (      0.06) &       0.89 (      0.18) \\
  SN2011bm &    V-I &      42.86 (     41.83) &       34.7 (       1.8) &      0.571 (     0.006) &      124.0 (       1.8) &       0.63 (      0.06) &       1.64 (      0.23) \\
  SN2011dh &    V-R &      42.49 (     41.48) &       19.9 (       0.3) &      0.092 (     0.001) &      102.5 (       1.7) &       0.17 (      0.02) &       0.81 (      0.12) \\
 iPTF13bvn &    V-I &      42.31 (     41.34) &       17.4 (       1.1) &      0.040 (     0.001) &      136.5 (      17.6) &       0.10 (      0.01) &       0.40 (      0.12) \\
  SN2013df &    V-I &      42.39 (     41.77) &       23.5 (       6.3) &      0.062 (     0.001) &      126.4 (       1.8) &       0.13 (      0.06) &       0.53 (      0.32) \\
  SN2013ge &    B-V &      42.39 (     41.79) &       16.4 (       5.4) &      0.062 (     0.004) &      122.9 (       6.0) &       0.10 (      0.04) &       0.75 (      0.57) \\
  SN2014ad &    V-I &      42.85 (     42.06) &       16.6 (       3.4) &      0.145 (     0.008) &       97.2 (       3.7) &       0.31 (      0.09) &       0.49 (      0.20) \\
 SN2016coi &    V-I &      42.84 (     42.02) &       17.7 (       2.6) &      0.169 (     0.004) &      136.5 (       4.4) &       0.33 (      0.08) &       0.65 (      0.19) \\
 SN2016gkg &    V-I &      42.29 (     41.21) &       16.5 (       4.0) &      0.057 (     0.002) &      123.2 (       7.5) &       0.09 (      0.02) &       0.94 (      0.12) \\
 SN2017gax &    B-V &      42.48 (     41.60) &       15.1 (       1.9) &      0.066 (     0.001) &      115.0 (       2.8) &       0.13 (      0.02) &       0.62 (      0.18) \\
